smiles,score
Cn1c(cc(n1)[C@H]2CCCN2C(=O)CCCc3c[nH]c4c3cccc4)C[NH+](C)C,9.499931335449219
c1cc(cc(c1)OCC[NH3+])C(=O)N[C@@H]2COC[C@@H]2[NH+]3CCCC3,9.499817848205566
CN(C)c1ncc(s1)C[N@@H+]2CCC[C@@H](C2)C(=O)c3ccc4c5c3cccc5CC4,9.498321533203125
Cc1[nH]cc(n1)C[N@@H+]2CCOc3c(cc(cc3O)c4nc5ccccc5s4)C2,9.498321533203125
CC[NH+]1CCC(CC1)[NH2+][C@H]2CCC[C@H]([C@@H]2C)C,9.49702262878418
COC[C@H]1C[N@H+](Cc2c1nn(c2)CC3CCCC3)Cc4ccccn4,9.489574432373047
c1cc(ccc1C[N@H+]2C[C@@H]([C@@H]3[C@H]2CCCO3)N4CCCC4=O)F,9.489574432373047
COc1ccc(cc1)C[N@@H+]2CCC[C@]3(C2)C[C@H](CO3)n4ccnc4,9.489574432373047
C1CC(C1)C[N@H+]2C[C@H]3COC[C@@H]([C@@H]3C2)C(=O)N4CCOCC4,9.489574432373047
Cc1ccc(cc1)[C@@H](C[NH+]2CCC3(CC2)C[C@@H](c4cc(c(cc4O3)C)C)O)O,9.488717079162598
COc1ccccc1c2cc(n3c(n2)c(cn3)C(=O)N4CC[N@@H+]5CCC[C@H]5C4)C(F)F,9.480507850646973
C=CCOc1ccc(cc1C[NH2+]CCC[NH+]2CCOCC2)Br,9.477465629577637
C[C@H](CCc1ccc(cc1)O)NC(=O)[C@H](C)[NH+]2CCSCC2,9.477465629577637
c1cc(c2c(c1)OC(O2)(F)F)c3c4c([nH]n3)CC[N@H+](C4)[C@@H]5CCSC5,9.442726135253906
c1cc(ccc1C(=O)[C@H]2CCC[N@H+](C2)C3CSCCSC3)Cl,9.408331871032715
Cc1ccc(cc1)N2C[C@@]3(CC[N@@H+](C3)Cc4nccn4C)CC2=O,9.408331871032715
CCc1[nH]c(c(n1)C)C[N@@H+]2CCc3c(c(nn3C)C(=O)NC4CCCC4)C2,9.406956672668457
CCS(=O)(=O)c1[nH+]cc(n1CCCc2ccccc2)C[NH+](CCO)CCO,9.405853271484375
Cc1cc2ncc(c(n2n1)N)C(=O)N[C@H](CC[NH+]3CCCCC3)c4ccccc4,9.405853271484375
c1cc(cc(c1)C[NH+]2CCOCC2)CNC(=O)c3ccc(cc3)Cl,9.394033432006836
c1ccc(cc1)C[C@H](NC(=O)c2cc3c(cc2)OCCO3)[C@H]4C[C@@H](C4)O,9.386229515075684
CO[C@H]1CN(CC[C@@H]1Cc2ccccc2F)C(=O)c3cncnc3O,9.386229515075684
Cc1c(c2ccccc2[nH]1)CC(=O)N[C@@H]3C[C@@H](C34CCOCC4)O,9.386229515075684
COc1ccc(cc1)[C@@H](CNC(=O)c2ccc3c(c2)nc[nH]3)[NH+]4CCCC4,9.383009910583496
C[NH+](C)CCN1C[C@H](CC1=O)C(=O)NCCc2ccc(cc2)F,9.371369361877441
CCc1nc(no1)C[N@H+]2CCO[C@@H](C2)c3ccc4cc(ccc4c3)OC,9.348896026611328
CC(=O)c1ccc(cc1)NC(=O)C[N@H+]2CCc3cc(c(cc3[C@@H]2c4ccccc4)OC)OC,9.348896026611328
CC(=O)[C@H]1[C@H]2[C@H]([C@H]3[N@H+]1C=Cc4c3cccc4)C(=O)N(C2=O)c5ccccc5Br,9.348896026611328
CC1CC[NH+](CC1)CCCNC(=O)c2cccc(c2)Cl,9.340514183044434
c1cnccc1C[NH+]2CCN(CC2)C(=O)CCc3ccsc3,9.340514183044434
Cc1nc(cc(n1)NCCCN2CCCC2=O)C[NH3+],9.334444046020508
c1cc(cc(c1)c2cccnc2C(=O)NC3CC3)C[NH3+],9.334444046020508
c1ccc2c(c1)[nH]c(n2)C[C@H](c3ccc(cc3)Cl)[NH3+],9.334444046020508
c1cc(ccc1OC[C@@]2(CC[N@H+](C2)CC(=O)N3CCOCC3)O)F,9.320670127868652
COc1cccc(c1)[C@H](C(=O)[O-])[N@H+]2CCOc3ccc(cc3C2)Cl,9.320670127868652
Cc1ccc(c(c1)Cl)C(=O)O/[NH+]=C(/Cc2cccs2)\N,9.316764831542969
CC1(C(=O)N(C(=O)N1)CC(=O)N2C[C@H]([C@@H](C2)O)[NH+]3CCCC3)C,9.308290481567383
CCCc1cc(n(n1)C)C(=O)NC[C@H](c2ccc(cc2)F)[NH+]3CCCC3,9.30748462677002
c1cc(cc(c1)c2ccc(cc2)F)CC3(CCOCC3)C(=O)NCCC[NH+]4CCCC4,9.30748462677002
Cc1cc(n[nH]1)C[C@H]2CN(C[C@H]2O)C(=O)C[N@@H+](C)Cc3ccc(cc3)F,9.305203437805176
c1cc2[nH+]cc(n2nc1)C(=O)N[C@@H]3CCC[N@@H+](C3)C4CCCCC4,9.305203437805176
C[C@](C#N)(C1CC1)NC(=O)C[NH+]2CCN(CC2)c3ccccc3,9.304720878601074
